"","Description","daGAL4_plus1","daGAL4_plus2","daGAL4_plus3","daGAL4_plus4","daGAL4_plus5","daGAL4_Ab_ARC1","daGAL4_Ab_ARC2","daGAL4_Ab_ARC3","daGAL4_Ab_ARC4","daGAL4_Ab_ARC5","logFC","adj.P.Val","gene_name","symbol","cutoff1"
"3023","Uncharacterized protein, isoform A OS=Drosophila melanogaster GN=Dmel\CG18585 PE=3 SV=1",6.77,5.396,6.354,5.899,6.276,6.276,6.652,7.201,7.376,7.674,0.897,0.045,"Uncharacterized protein, isoform A","Dmel\CG18585","no_change"
"3024","Elongation of very long chain fatty acids protein OS=Drosophila melanogaster GN=CG31522 PE=1 SV=1",6.733,6.604,6.895,6.802,6.87,6.653,6.821,6.374,6.508,6.606,-0.189,0.116,"Elongation of very long chain fatty acids protein","CG31522","no_change"
"3025","Sex-regulated protein janus-A OS=Drosophila melanogaster GN=janA PE=2 SV=2",6.671,6.586,6.713,6.556,6.322,6.317,6.766,7.175,7.392,7.437,0.448,0.097,"Sex-regulated protein janus-A","janA","no_change"
"3026","FACT complex subunit Ssrp1 OS=Drosophila melanogaster GN=Ssrp PE=1 SV=2",6.384,5.817,6.114,6.394,6.074,6.311,6.434,6.689,6.55,6.612,0.363,0.041,"FACT complex subunit Ssrp1","Ssrp","no_change"
"3027","Dihydrofolate reductase OS=Drosophila melanogaster GN=Dhfr PE=1 SV=3",7.19,6.58,6.927,6.567,7.068,7.338,7.317,7.614,7.84,7.794,0.714,0.013,"Dihydrofolate reductase","Dhfr","no_change"
"3028","Lethal (2) 34Fc, isoform B OS=Drosophila melanogaster GN=l(2)34Fc PE=4 SV=1",7.521,7.553,7.388,7.472,7.426,7.042,7.236,7.361,7.573,7.842,-0.061,0.724,"Lethal (2) 34Fc, isoform B","l(2)34Fc","no_change"
"3029","Inosine triphosphate pyrophosphatase OS=Drosophila melanogaster GN=CG8891 PE=2 SV=1",6.731,6.301,6.442,6.303,6.377,6.371,6.591,6.865,7.01,7.174,0.371,0.075,"Inosine triphosphate pyrophosphatase","CG8891","no_change"
"3030","CG9062, isoform C OS=Drosophila melanogaster GN=CG9062 PE=4 SV=1",3.66,3.773,3.518,3.243,2.689,3.409,3.776,3.301,3.376,3.513,0.099,0.693,"CG9062, isoform C","CG9062","no_change"
"3031","Innexin inx3 OS=Drosophila melanogaster GN=Inx3 PE=1 SV=1",6.74,6.942,6.614,6.544,6.794,6.798,6.876,6.734,6.948,6.947,0.134,0.21,"Innexin inx3","Inx3","no_change"
"3032","GH11193p OS=Drosophila melanogaster GN=Rab18 PE=1 SV=1",7.062,7.138,7.306,7.197,7.341,7.208,7.227,7.177,7.137,7.162,-0.027,0.752,"GH11193p","Rab18","no_change"
"3033","CG8207 OS=Drosophila melanogaster GN=CG8207 PE=1 SV=1",7.403,7.477,7.394,7.618,7.597,7.68,7.596,7.472,7.59,7.54,0.078,0.353,"CG8207","CG8207","no_change"
"3034","CG8628, isoform A OS=Drosophila melanogaster GN=anon-SAGE:Wang-073 PE=1 SV=2",6.85,5.977,6.456,6.682,7.008,7,7.543,7.889,8.27,9.337,1.413,0.023,"CG8628, isoform A","anon-SAGE:Wang-073","up"
"3035","Histone H4 OS=Drosophila melanogaster GN=His4 PE=1 SV=2",6.158,4.392,5.134,4.701,4.926,5.766,6.15,6.612,7.072,7.698,1.597,0.019,"Histone H4","His4","up"
"3036","AT13736p OS=Drosophila melanogaster GN=UQCR-Q PE=1 SV=1",9.572,9.529,9.397,9.295,9.341,9.267,9.446,9.342,9.339,9.397,-0.069,0.43,"AT13736p","UQCR-Q","no_change"
"3037","FIT family protein CG10671 OS=Drosophila melanogaster GN=CG10671 PE=1 SV=1",7.865,7.66,7.828,7.665,7.634,7.853,7.844,7.81,7.877,8.114,0.169,0.1,"FIT family protein CG10671","CG10671","no_change"
"3038","CG9993 OS=Drosophila melanogaster GN=CG9993 PE=4 SV=1",5.704,6.115,5.746,5.787,6.064,5.878,6.001,6.092,5.715,5.774,0.009,0.953,"CG9993","CG9993","no_change"
"3039","Des-1 protein OS=Drosophila melanogaster GN=ifc PE=1 SV=1",6.857,6.759,6.789,6.8,7.09,6.639,6.752,6.906,6.89,6.935,-0.035,0.755,"Des-1 protein","ifc","no_change"
"3040","LD30634p OS=Drosophila melanogaster GN=VhaM8.9 PE=1 SV=1",7.455,7.341,7.34,7.562,7.354,7.503,7.555,7.501,7.347,7.199,0.011,0.927,"LD30634p","VhaM8.9","no_change"
"3041","Actin-related protein 10, isoform A OS=Drosophila melanogaster GN=Arp10 PE=1 SV=1",7.101,6.824,6.916,6.784,6.95,7.084,7.119,7.254,7.231,7.242,0.271,0.022,"Actin-related protein 10, isoform A","Arp10","no_change"
"3042","Nucleotide exchange factor SIL1 OS=Drosophila melanogaster GN=CG10420 PE=2 SV=1",7.1,6.946,7.078,7.138,6.974,7.194,6.949,7.087,6.918,6.975,-0.023,0.809,"Nucleotide exchange factor SIL1","CG10420","no_change"
"3043","CG2926, isoform A OS=Drosophila melanogaster GN=CG2926 PE=1 SV=1",4.919,4.932,4.998,5.23,5.056,4.561,4.361,4.208,3.883,4.019,-0.821,0.004,"CG2926, isoform A","CG2926","no_change"
"3044","Anion exchange protein OS=Drosophila melanogaster GN=Ndae1 PE=1 SV=2",5.06,5.481,5.246,5.606,5.257,4.999,5.189,4.998,4.95,5.221,-0.259,0.077,"Anion exchange protein","Ndae1","no_change"
"3045","Mitogen-activated protein kinase OS=Drosophila melanogaster GN=bsk PE=1 SV=1",7.275,7.479,7.317,7.321,7.503,7.228,7.3,7.409,7.162,7.303,-0.099,0.26,"Mitogen-activated protein kinase","bsk","no_change"
"3046","Phosphoglycerate kinase OS=Drosophila melanogaster GN=Dmel\CG9961 PE=1 SV=2",8.107,8.575,8.344,8.469,8.451,8.243,7.987,7.577,7.007,6.271,-0.972,0.042,"Phosphoglycerate kinase","Dmel\CG9961","no_change"
"3047","GEO08407p1 OS=Drosophila melanogaster GN=BcDNA:RH62365 PE=2 SV=1",7.211,7.34,7.197,7.081,7.211,7.041,7.22,7.067,7.258,7.592,0.028,0.846,"GEO08407p1","BcDNA:RH62365","no_change"
"3048","Alkaline phosphatase OS=Drosophila melanogaster GN=CG1809 PE=1 SV=1",4.933,5.602,5.504,5.453,5.337,5.284,5.361,5.163,5.038,5.094,-0.178,0.256,"Alkaline phosphatase","CG1809","no_change"
"3049","Thioredoxin-1 OS=Drosophila melanogaster GN=dhd PE=1 SV=1",7.501,7.181,7.595,7.413,6.865,7.423,8.042,8.306,8.203,7.906,0.665,0.025,"Thioredoxin-1","dhd","no_change"
"3050","EG:152A3.1 protein OS=Drosophila melanogaster GN=Nmd3 PE=1 SV=1",8.108,7.597,7.987,7.702,7.811,7.576,7.96,7.91,8.003,8.14,0.077,0.631,"EG:152A3.1 protein","Nmd3","no_change"
"3051","RE68566p OS=Drosophila melanogaster GN=Dmel\CG13893 PE=1 SV=1",6.756,6.867,7.004,6.868,6.903,6.781,6.597,6.481,6.326,6.437,-0.355,0.018,"RE68566p","Dmel\CG13893","no_change"
"3052","Cytochrome b-c1 complex subunit 6 OS=Drosophila melanogaster GN=UQCR-11 PE=1 SV=2",9.605,9.69,9.615,9.528,9.667,9.457,9.455,9.543,9.516,9.733,-0.08,0.34,"Cytochrome b-c1 complex subunit 6","UQCR-11","no_change"
"3053","FI17861p1 OS=Drosophila melanogaster GN=CG16700-RA PE=2 SV=1",5.362,5.864,5.541,5.505,5.847,5.498,5.742,5.38,5.224,5.163,-0.223,0.195,"FI17861p1","CG16700-RA","no_change"
"3054","Suppressor of fused homolog OS=Drosophila melanogaster GN=Su(fu) PE=1 SV=1",8.149,8.121,8.186,8.28,8.142,8.162,8.046,8.023,7.856,8.008,-0.157,0.078,"Suppressor of fused homolog","Su(fu)","no_change"
"3055","Transport and golgi organization 11, isoform B OS=Drosophila melanogaster GN=Tango11 PE=1 SV=1",7.413,7.412,7.426,7.36,7.493,7.344,7.301,7.288,7.267,7.291,-0.123,0.064,"Transport and golgi organization 11, isoform B","Tango11","no_change"
"3056","CG7646, isoform A OS=Drosophila melanogaster GN=Dmel\CG7646 PE=1 SV=1",6.934,7.154,6.869,6.981,7.163,6.708,6.638,6.434,6.403,6.431,-0.498,0.006,"CG7646, isoform A","Dmel\CG7646","no_change"
"3057","Fatty acyl-CoA reductase OS=Drosophila melanogaster GN=CG17560 PE=3 SV=2",7.927,7.11,7.522,7.602,7.445,7.689,8.047,8.243,8.048,8.244,0.533,0.027,"Fatty acyl-CoA reductase","CG17560","no_change"
"3058","LD20292p OS=Drosophila melanogaster GN=Vps11 PE=1 SV=1",7.142,7.776,7.422,7.525,7.491,7.305,6.92,6.156,6.065,5.41,-1.099,0.026,"LD20292p","Vps11","down"
"3059","Solute carrier organic anion transporter family member OS=Drosophila melanogaster GN=Oatp58Dc PE=1 SV=1",7.006,7.207,7.042,7.063,7.132,7.005,6.85,6.938,6.997,7.106,-0.111,0.183,"Solute carrier organic anion transporter family member","Oatp58Dc","no_change"
"3060","Rhomboid-like protein OS=Drosophila melanogaster GN=rho-4 PE=1 SV=2",7.134,7.303,7.288,7.196,7.323,7.269,7.217,6.916,7.144,7.141,-0.112,0.243,"Rhomboid-like protein","rho-4","no_change"
"3061","GEO11311p1 OS=Drosophila melanogaster GN=CG34215 PE=1 SV=1",6.275,5.873,6.198,5.819,6.316,7.295,6.937,6.995,7.204,7.281,1.046,0.001,"GEO11311p1","CG34215","up"
"3062","Uncharacterized protein OS=Drosophila melanogaster GN=CG43090 PE=4 SV=1",5.9,5.396,5.472,5.167,5.592,6.472,6.933,7.359,7.562,7.49,1.658,0.002,"Uncharacterized protein","CG43090","up"
"3063","Protein-L-isoaspartate(D-aspartate) O-methyltransferase OS=Drosophila melanogaster GN=Pcmt PE=1 SV=2",7.077,6.981,6.753,6.827,6.823,6.838,7.02,7.185,7.2,7.129,0.182,0.122,"Protein-L-isoaspartate(D-aspartate) O-methyltransferase","Pcmt","no_change"
"3064","Chitinase-like protein Idgf5 OS=Drosophila melanogaster GN=Idgf5 PE=2 SV=3",5.923,6.128,5.891,5.966,6.066,6.327,6.176,6.229,6.238,5.811,0.161,0.201,"Chitinase-like protein Idgf5","Idgf5","no_change"
"3065","Probable 60S ribosomal protein L37-A OS=Drosophila melanogaster GN=RpL37a PE=1 SV=1",9.127,8.553,9.169,9,8.873,9.215,9.297,9.216,9.236,9.258,0.3,0.052,"Probable 60S ribosomal protein L37-A","RpL37a","no_change"
"3066","GH06691p OS=Drosophila melanogaster GN=Dmel\CG11811 PE=1 SV=1",7.195,6.907,6.924,6.927,7.113,7.119,7.272,7.28,7.356,7.453,0.283,0.028,"GH06691p","Dmel\CG11811","no_change"
"3067","Selenide, water dikinase OS=Drosophila melanogaster GN=SelD PE=2 SV=1",6.96,6.539,6.763,6.735,6.578,6.913,6.829,7.221,7.388,7.433,0.442,0.032,"Selenide, water dikinase","SelD","no_change"
"3068","Uncharacterized protein, isoform A OS=Drosophila melanogaster GN=CG42518 PE=4 SV=1",6.712,7.007,6.942,6.884,7.068,6.688,6.555,6.474,6.546,6.498,-0.37,0.011,"Uncharacterized protein, isoform A","CG42518","no_change"
"3069","Slamdance, isoform D OS=Drosophila melanogaster GN=sda PE=4 SV=1",6.967,7.196,6.875,7.073,7.03,6.916,6.921,6.836,6.696,6.555,-0.243,0.055,"Slamdance, isoform D","sda","no_change"
"3070","Spartin, isoform B OS=Drosophila melanogaster GN=spartin PE=4 SV=1",3.445,2.61,2.295,3.582,3.203,3.084,3.043,3.109,3.048,2.923,0.014,0.965,"Spartin, isoform B","spartin","no_change"
"3071","Rho GTPase activating protein at 15B, isoform C OS=Drosophila melanogaster GN=RhoGAP15B PE=1 SV=3",2.615,2.214,2.71,3.078,1.969,2.613,1.425,2.249,0.964,2.783,-0.51,0.26,"Rho GTPase activating protein at 15B, isoform C","RhoGAP15B","no_change"
"3072","CG3262, isoform D OS=Drosophila melanogaster GN=Dmel\CG3262 PE=1 SV=3",5.663,5.656,5.658,5.501,5.699,5.72,5.678,5.486,5.654,5.513,-0.025,0.773,"CG3262, isoform D","Dmel\CG3262","no_change"
"3073","Putative uncharacterized protein OS=Drosophila melanogaster GN=snama PE=1 SV=1",6.632,7.134,6.976,6.944,7.091,7.049,7.076,6.889,6.646,6.69,-0.086,0.575,"Putative uncharacterized protein","snama","no_change"
"3074","Protein BCCIP homolog OS=Drosophila melanogaster GN=CG9286 PE=2 SV=2",7.278,7.398,7.279,7.374,7.307,7.391,7.248,7.312,7.473,7.817,0.121,0.34,"Protein BCCIP homolog","CG9286","no_change"
"3075","CG3542 OS=Drosophila melanogaster GN=prp40 PE=1 SV=1",7.799,7.923,7.891,7.78,7.94,7.643,7.773,7.641,7.571,7.458,-0.25,0.024,"CG3542","prp40","no_change"
"3076","GM04645p OS=Drosophila melanogaster GN=Ugt86Da PE=1 SV=1",6.517,6.543,6.307,6.556,6.568,6.581,6.338,6.456,6.562,6.223,-0.066,0.542,"GM04645p","Ugt86Da","no_change"
"3077","Hpr1 OS=Drosophila melanogaster GN=Hpr1 PE=1 SV=1",7.278,7.157,7.384,7.435,7.186,7.215,7.304,7.211,7.122,7.133,-0.091,0.303,"Hpr1","Hpr1","no_change"
"3078","Carboxy terminus of Hsp70-interacting protein OS=Drosophila melanogaster GN=STUB1 PE=2 SV=1",6.666,6.902,6.599,6.847,6.703,6.73,6.682,6.305,6.296,6.143,-0.312,0.066,"Carboxy terminus of Hsp70-interacting protein","STUB1","no_change"
"3079","CG8562 OS=Drosophila melanogaster GN=CT15463 PE=2 SV=1",6.779,6.617,6.668,6.494,6.653,6.477,6.425,6.725,6.834,6.886,0.027,0.843,"CG8562","CT15463","no_change"
"3080","CG1902, isoform A OS=Drosophila melanogaster GN=CG1902 PE=1 SV=1",7.013,7.151,7.144,6.975,7.21,6.93,7.05,7.067,7.053,7.336,-0.012,0.92,"CG1902, isoform A","CG1902","no_change"
"3081","Formin 3, isoform B OS=Drosophila melanogaster GN=form3 PE=4 SV=1",3.808,4.433,4.279,3.913,3.893,3.846,3.533,3.138,2.642,2.338,-0.966,0.025,"Formin 3, isoform B","form3","no_change"
"3082","LP01981p OS=Drosophila melanogaster GN=p24-2 PE=2 SV=1",6.733,6.288,6.46,6.307,6.594,6.901,6.773,6.743,6.96,6.857,0.37,0.019,"LP01981p","p24-2","no_change"
"3083","CWF19-like protein 1 homolog OS=Drosophila melanogaster GN=CG7741 PE=2 SV=1",5.432,5.485,4.948,5.239,5.011,4.985,5.239,5.246,5.295,5.647,0.059,0.75,"CWF19-like protein 1 homolog","CG7741","no_change"
"3084","IP19903p OS=Drosophila melanogaster GN=CG3884-RB PE=1 SV=1",7.42,7.661,7.381,7.545,7.367,7.54,7.56,7.621,7.591,7.891,0.166,0.141,"IP19903p","CG3884-RB","no_change"
"3085","Probable N6-adenosine-methyltransferase MT-A70-like protein OS=Drosophila melanogaster GN=Ime4 PE=2 SV=1",5.83,5.727,5.88,6.073,5.904,6.056,5.786,5.73,5.665,5.652,-0.105,0.367,"Probable N6-adenosine-methyltransferase MT-A70-like protein","Ime4","no_change"
"3086","Semaphorin 1a, isoform G OS=Drosophila melanogaster GN=Sema1a PE=1 SV=1",5.993,6.235,6.119,6.149,6.155,6.104,5.822,5.557,5.332,5.325,-0.502,0.027,"Semaphorin 1a, isoform G","Sema1a","no_change"
"3087","LD20793p OS=Drosophila melanogaster GN=Peritrophin-A PE=2 SV=1",6.429,6.518,6.672,6.453,6.529,6.468,6.4,5.96,6.036,6.025,-0.343,0.037,"LD20793p","Peritrophin-A","no_change"
"3088","Unconventional prefoldin RPB5 interactor-like protein OS=Drosophila melanogaster GN=uri PE=1 SV=1",6.389,6.354,6.354,6.567,6.604,6.579,6.572,6.257,6.253,6.177,-0.086,0.497,"Unconventional prefoldin RPB5 interactor-like protein","uri","no_change"
"3089","RE64336p OS=Drosophila melanogaster GN=CG34133 PE=1 SV=3",5.725,5.776,5.624,5.446,5.806,5.894,5.829,5.502,5.749,5.876,0.095,0.434,"RE64336p","CG34133","no_change"
"3090","Single-stranded DNA-binding protein, mitochondrial OS=Drosophila melanogaster GN=mtSSB PE=1 SV=2",7.733,7.713,7.695,7.747,7.596,7.593,7.824,7.781,7.726,7.606,0.009,0.919,"Single-stranded DNA-binding protein, mitochondrial","mtSSB","no_change"
"3091","RH17559p OS=Drosophila melanogaster GN=Dmel\CG32267 PE=1 SV=1",8.018,7.519,7.716,7.692,7.79,7.96,7.806,7.857,7.941,7.957,0.157,0.166,"RH17559p","Dmel\CG32267","no_change"
"3092","Purple acid phosphatase OS=Drosophila melanogaster GN=CG1637 PE=1 SV=1",7.371,7.573,7.401,7.444,7.511,7.155,7.35,7.159,6.992,7.097,-0.309,0.017,"Purple acid phosphatase","CG1637","no_change"
"3093","Bystin OS=Drosophila melanogaster GN=bys PE=1 SV=2",7.09,6.392,6.996,6.754,6.806,6.903,6.696,6.909,7.064,7.273,0.161,0.371,"Bystin","bys","no_change"
"3094","Uncharacterized protein OS=Drosophila melanogaster GN=CG18003 PE=1 SV=1",7.261,7.165,7.12,7.058,7.232,7.172,7.004,7.263,7.167,7.326,0.019,0.847,"Uncharacterized protein","CG18003","no_change"
"3095","Yin, isoform D OS=Drosophila melanogaster GN=yin PE=3 SV=1",7.071,6.153,7.185,6.745,6.618,7.421,7.654,7.549,7.532,7.19,0.715,0.019,"Yin, isoform D","yin","no_change"
"3096","Beta-lactamase-like protein 2 homolog OS=Drosophila melanogaster GN=CG12375 PE=2 SV=1",7.512,7.542,7.511,7.468,7.557,7.451,7.694,7.693,7.749,7.855,0.17,0.086,"Beta-lactamase-like protein 2 homolog","CG12375","no_change"
"3097","Crammer OS=Drosophila melanogaster GN=cer PE=1 SV=1",7.41,7.716,7.325,7.488,7.57,7.537,7.333,7.614,7.877,8.238,0.218,0.272,"Crammer","cer","no_change"
"3098","Methionine--tRNA ligase, mitochondrial OS=Drosophila melanogaster GN=Aats-met-m PE=2 SV=2",7.432,6.953,7.346,7.101,7.369,7.341,7.433,7.491,7.518,7.551,0.226,0.084,"Methionine--tRNA ligase, mitochondrial","Aats-met-m","no_change"
"3099","CG3530, isoform A OS=Drosophila melanogaster GN=BcDNA:GH04637 PE=1 SV=1",6.898,6.822,6.912,6.99,6.96,6.93,7.13,7.177,7.191,7.093,0.188,0.045,"CG3530, isoform A","BcDNA:GH04637","no_change"
"3100","FI06485p OS=Drosophila melanogaster GN=CG10962-RB PE=1 SV=1",6.988,7.173,7.07,7.2,7.336,6.982,6.703,6.637,6.693,6.532,-0.444,0.012,"FI06485p","CG10962-RB","no_change"
"3101","SD21818p OS=Drosophila melanogaster GN=SerRS-m PE=1 SV=1",7.208,7.416,7.217,7.001,7.317,7.263,7.284,7.293,7.303,7.52,0.101,0.349,"SD21818p","SerRS-m","no_change"
"3102","GH10112p OS=Drosophila melanogaster GN=nec PE=1 SV=1",7.948,7.353,7.529,7.497,7.504,7.941,7.552,7.795,7.7,7.609,0.154,0.295,"GH10112p","nec","no_change"
"3103","Structural maintenance of chromosomes protein OS=Drosophila melanogaster GN=SMC3 PE=1 SV=2",6.011,6.554,6.273,6.245,6.212,6.233,6.389,5.756,5.726,5.344,-0.37,0.134,"Structural maintenance of chromosomes protein","SMC3","no_change"
"3104","CG8677, isoform B OS=Drosophila melanogaster GN=rsf-1 PE=1 SV=3",6.686,6.949,6.949,7.09,6.817,6.975,6.884,6.891,6.843,6.764,-0.027,0.801,"CG8677, isoform B","rsf-1","no_change"
"3105","CG8405, isoform A OS=Drosophila melanogaster GN=CG8405 PE=1 SV=1",4.432,4.481,4.098,4.068,4.54,4.102,4.083,3.603,3.747,4.003,-0.417,0.036,"CG8405, isoform A","CG8405","no_change"
"3106","GEO10187p1 OS=Drosophila melanogaster GN=CG14483 PE=2 SV=1",7.493,7.262,7.43,7.389,7.262,7.561,7.52,7.262,7.293,7.255,0.011,0.923,"GEO10187p1","CG14483","no_change"
"3107","CG8326 OS=Drosophila melanogaster GN=CG8326 PE=2 SV=1",6.091,6.347,6.176,6.332,6.158,5.875,5.641,4.899,5.2,5.254,-0.847,0.009,"CG8326","CG8326","no_change"
"3108","RE15216p OS=Drosophila melanogaster GN=BcDNA:RE15216 PE=1 SV=1",7.422,7.676,7.501,7.542,7.676,7.064,7.127,7.096,7.064,7.074,-0.478,0.002,"RE15216p","BcDNA:RE15216","no_change"
"3109","Rough deal OS=Drosophila melanogaster GN=rod PE=1 SV=2",8.199,7.69,7.899,7.801,7.785,8.147,8.28,8.52,8.423,8.382,0.476,0.014,"Rough deal","rod","no_change"
"3110","Uncharacterized protein, isoform C OS=Drosophila melanogaster GN=CG17691 PE=1 SV=3",7.248,6.99,7.322,7.103,7.11,6.952,7.155,7.494,7.623,8.02,0.294,0.197,"Uncharacterized protein, isoform C","CG17691","no_change"
"3111","DNA-directed RNA polymerase subunit OS=Drosophila melanogaster GN=CG17209 PE=1 SV=2",5.352,5.67,5.604,5.695,5.051,5.515,5.819,5.796,5.993,6.492,0.449,0.076,"DNA-directed RNA polymerase subunit","CG17209","no_change"
"3112","RE64534p OS=Drosophila melanogaster GN=CG10208 PE=1 SV=1",6.84,6.957,7.064,6.535,7.14,7.14,7.061,7.017,7.159,7.035,0.175,0.198,"RE64534p","CG10208","no_change"
"3113","LD01527p OS=Drosophila melanogaster GN=ssp3 PE=2 SV=3",6.566,7.231,6.756,7.11,6.826,6.817,6.518,6.217,6.185,5.454,-0.66,0.049,"LD01527p","ssp3","no_change"
"3114","Farnesyl transferase alpha, isoform A OS=Drosophila melanogaster GN=Fnta PE=1 SV=1",7.421,7.519,7.364,7.448,7.442,7.407,7.369,7.15,7.107,7.129,-0.207,0.051,"Farnesyl transferase alpha, isoform A","Fnta","no_change"
"3115","GH09711p OS=Drosophila melanogaster GN=NKCC PE=2 SV=2",5.736,6.478,5.809,6.219,6.036,6.021,6.018,5.508,5.695,5.665,-0.274,0.174,"GH09711p","NKCC","no_change"
"3116","Deoxyribonuclease II OS=Drosophila melanogaster GN=DNaseII PE=1 SV=1",7.659,7.941,7.628,8.404,7.776,8.04,7.503,7.352,7.23,7.154,-0.425,0.099,"Deoxyribonuclease II","DNaseII","no_change"
"3117","BcDNA.GH05536 OS=Drosophila melanogaster GN=BcDNA:GH05536 PE=1 SV=1",7.434,7.53,7.541,7.537,7.646,7.187,7.268,7.272,7.227,7.442,-0.259,0.018,"BcDNA.GH05536","BcDNA:GH05536","no_change"
"3118","Histone RNA hairpin-binding protein OS=Drosophila melanogaster GN=Slbp PE=1 SV=1",8.359,8.414,8.455,8.56,8.231,8.491,8.592,8.486,8.33,8.149,0.006,0.965,"Histone RNA hairpin-binding protein","Slbp","no_change"
"3119","BCAS2 ortholog OS=Drosophila melanogaster GN=BCAS2 PE=1 SV=1",7.076,7.201,7.207,7.164,7.041,7.136,6.978,6.781,6.811,6.661,-0.264,0.044,"BCAS2 ortholog","BCAS2","no_change"
"3120","Uncharacterized protein OS=Drosophila melanogaster GN=CG14528 PE=1 SV=1",6.269,6.791,6.568,6.745,6.724,6.63,6.412,6.261,6.306,6.266,-0.244,0.103,"Uncharacterized protein","CG14528","no_change"
"3121","Uncharacterized protein, isoform E OS=Drosophila melanogaster GN=BcDNA:RE58243 PE=4 SV=1",2.704,2.01,3.734,2.89,2.525,2.452,2.425,3.208,2.993,2.819,0.007,0.986,"Uncharacterized protein, isoform E","BcDNA:RE58243","no_change"
"3122","FI19426p1 OS=Drosophila melanogaster GN=SP1173 PE=2 SV=1",7.922,8.145,8.033,7.956,8.082,7.825,7.766,7.507,7.513,7.366,-0.432,0.013,"FI19426p1","SP1173","no_change"
"3123","Adherens junction protein p120 OS=Drosophila melanogaster GN=p120ctn PE=1 SV=1",6.598,6.75,6.649,6.615,6.706,6.578,6.72,6.404,6.386,6.248,-0.196,0.095,"Adherens junction protein p120","p120ctn","no_change"
"3124","Neurofibromin 1, isoform B OS=Drosophila melanogaster GN=Nf1 PE=4 SV=3",5.026,5.27,5.079,5.464,5.316,5.501,5.094,4.82,4.424,4.381,-0.387,0.145,"Neurofibromin 1, isoform B","Nf1","no_change"
"3125","Metallothionein B, isoform B OS=Drosophila melanogaster GN=MtnB PE=4 SV=1",5.723,5.666,6.027,6.018,5.912,5.992,5.662,5.735,5.072,4.947,-0.388,0.129,"Metallothionein B, isoform B","MtnB","no_change"
"3126","IP10727p OS=Drosophila melanogaster GN=CG11788 PE=2 SV=1",5.212,5.429,5.483,5.659,5.101,5.644,5.6,5.595,5.462,4.943,0.072,0.716,"IP10727p","CG11788","no_change"
"3127","GH15104p1 OS=Drosophila melanogaster GN=Dmel\CG42307 PE=2 SV=1",6.563,6.256,6.572,6.382,6.322,6.449,6.411,6.614,6.636,6.566,0.116,0.257,"GH15104p1","Dmel\CG42307","no_change"
"3128","GEO13368p1 OS=Drosophila melanogaster GN=CG34117 PE=2 SV=1",6.58,6.187,6.375,6.156,6.155,6.336,6.764,6.7,6.808,6.692,0.369,0.032,"GEO13368p1","CG34117","no_change"
"3129","Transcription initiation factor TFIID subunit 6 OS=Drosophila melanogaster GN=Taf6 PE=1 SV=2",4.432,4.721,4.786,4.982,4.806,4.459,5.163,5.149,4.875,5.116,0.207,0.272,"Transcription initiation factor TFIID subunit 6","Taf6","no_change"
"3130","Phosphatidylinositol glycan anchor biosynthesis, class S ortholog OS=Drosophila melanogaster GN=PIG-S PE=1 SV=2",7.475,7.532,7.304,7.426,7.333,7.387,7.535,7.547,7.516,7.311,0.046,0.613,"Phosphatidylinositol glycan anchor biosynthesis, class S ortholog","PIG-S","no_change"
"3131","SD04019p OS=Drosophila melanogaster GN=CG17278 PE=2 SV=2",6.834,6.924,6.948,6.766,6.862,6.706,6.654,6.42,6.254,6.317,-0.396,0.017,"SD04019p","CG17278","no_change"
"3132","Uncharacterized protein, isoform B OS=Drosophila melanogaster GN=Dmel\CG12355 PE=3 SV=1",5.256,5.053,4.948,4.569,5.248,4.841,4.578,5.212,4.875,5.393,-0.035,0.885,"Uncharacterized protein, isoform B","Dmel\CG12355","no_change"
"3133","GH23839p OS=Drosophila melanogaster GN=Dmel\CG10585 PE=1 SV=1",7.158,7.42,7.117,7.166,7.134,6.932,6.802,6.789,6.689,6.783,-0.4,0.007,"GH23839p","Dmel\CG10585","no_change"
"3134","GEO07442p1 OS=Drosophila melanogaster GN=PDCD-5 PE=1 SV=1",5.775,5.505,5.598,5.434,5.401,5.504,5.654,5.945,6.094,6.498,0.396,0.086,"GEO07442p1","PDCD-5","no_change"
"3135","Another transcription unit protein OS=Drosophila melanogaster GN=Atu PE=1 SV=2",5.725,6.013,6.015,5.961,5.993,5.791,6.03,5.666,5.544,5.756,-0.184,0.142,"Another transcription unit protein","Atu","no_change"
"3136","Transmembrane protein 70 homolog, mitochondrial OS=Drosophila melanogaster GN=CG7506 PE=2 SV=1",7.455,7.299,7.386,7.009,7.31,7.131,7.135,7.665,8.252,8.731,0.491,0.188,"Transmembrane protein 70 homolog, mitochondrial","CG7506","no_change"
"3137","RE23670p OS=Drosophila melanogaster GN=CG10914 PE=1 SV=1",6.045,6.441,6.309,6.16,6.093,5.945,5.722,5.775,5.723,5.527,-0.472,0.011,"RE23670p","CG10914","no_change"
"3138","Exocyst complex component 4 OS=Drosophila melanogaster GN=Sec8 PE=1 SV=3",6.528,6.579,6.555,6.501,6.504,6.452,6.579,6.338,6.373,6.272,-0.13,0.123,"Exocyst complex component 4","Sec8","no_change"
"3139","RE07815p OS=Drosophila melanogaster GN=Ugt58Fa PE=1 SV=3",6.893,6.814,6.951,6.74,6.85,7.041,6.944,7.174,7.328,7.279,0.304,0.023,"RE07815p","Ugt58Fa","no_change"
